City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
8,Buchanan,LR,84.2,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
11,Atuona,PF,78.42,light rain,-9.8,-139.0333,Villa Enata
13,Mana,GF,79.43,broken clouds,5.6592,-53.7767,LE SAMANA
18,Vaini,TO,79.88,overcast clouds,-21.2,-175.2,Keleti Beach Resort
19,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
21,Hithadhoo,MV,82.78,broken clouds,-0.6,73.0833,Scoop Guest House
24,Emerald,AU,75.2,clear sky,-23.5333,148.1667,The Irish Village
25,Buin,CL,77.0,light rain,-33.7333,-70.75,Paihuen
26,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
33,Chuy,UY,83.57,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
38,Sola,VU,81.01,overcast clouds,-13.8833,167.55,Leumerus Bungalows
44,Geraldton,AU,86.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
52,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
56,Rikitea,PF,78.98,light rain,-23.1203,-134.9692,Pension Maro'i
60,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
65,Tecoanapa,MX,84.67,broken clouds,16.5167,-98.75,Hotel Manglares
70,Vangaindrano,MG,78.6,clear sky,-23.35,47.6,Hotel Fanilo
71,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
72,Saint-Pierre,RE,80.6,clear sky,-21.3393,55.4781,Lindsey Hôtel
84,Butaritari,KI,80.83,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Escarcega,MX,81.9,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
95,Loandjili,CG,84.2,light rain,-4.7561,11.8578,Résidence ARCHANGE
98,Cidreira,BR,81.39,scattered clouds,-30.1811,-50.2056,Hotel Castelo
99,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
105,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
115,Coruripe,BR,83.32,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
116,Mattru,SL,88.61,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
121,Winneba,GH,84.2,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
123,Bambous Virieux,MU,79.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
124,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
125,Daru,PG,76.96,light rain,-9.0763,143.2092,Daru Lodge
128,Padang,ID,77.81,overcast clouds,-0.9492,100.3543,Mercure Padang
129,Faanui,PF,80.71,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Tarakan,ID,77.0,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
137,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
146,Sorong,ID,79.68,light rain,-0.8833,131.25,The Waigo Hotel
152,Manaus,BR,82.4,light rain,-3.1019,-60.025,Hotel do Largo
155,Acapulco,MX,89.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
171,Kavieng,PG,82.36,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
175,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
176,Isangel,VU,76.21,clear sky,-19.55,169.2667,Volcano Sea View Tree House
177,Bage,BR,87.8,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
178,Yulara,AU,87.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
179,Buala,SB,81.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
189,Sao Filipe,CV,76.78,overcast clouds,14.8961,-24.4956,Tortuga B&B
191,Bangkalan,ID,77.0,few clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
192,Mount Isa,AU,87.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
196,Rocha,UY,82.54,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
197,Bonito,BR,85.19,broken clouds,-21.1211,-56.4819,Marruá Hotel
200,Honiara,SB,78.94,light rain,-9.4333,159.95,Heritage Park Hotel
207,Robertsport,LR,81.82,light rain,6.7533,-11.3686,Kwepunha Retreat
211,Hobyo,SO,76.55,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
215,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
216,Vao,NC,75.56,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
217,Cabo San Lucas,MX,75.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
227,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,Hotel Los Arcos
233,Tabou,CI,80.2,moderate rain,4.423,-7.3528,hotêl doufoulougou
239,Chone,EC,82.0,moderate rain,-0.6833,-80.1,Ciudadela Gonzalez
242,San Patricio,US,80.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
244,Quatre Cocos,MU,79.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
258,Quelimane,MZ,84.2,broken clouds,-17.8786,36.8883,Hotel Flamingo
261,Tenali,IN,77.0,mist,16.2425,80.6398,Hotel Grand Adithee
263,Dogondoutchi,NE,79.66,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
275,Marang,MY,78.8,scattered clouds,5.2056,103.2059,DBarakah Homestay
283,San Policarpo,PH,78.93,broken clouds,12.1791,125.5072,JM Lodge
290,Meulaboh,ID,75.83,light rain,4.1363,96.1285,Kost Pria
291,Pizarro,CO,84.09,scattered clouds,4.9533,-77.366,Hotel Limonar
298,Dhidhdhoo,MV,82.11,broken clouds,6.8833,73.1,Dhidhoo beach
300,Kununurra,AU,78.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
303,Cozumel,MX,80.6,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
308,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
309,Takoradi,GH,81.93,light rain,4.8845,-1.7554,Raybow International Hotel
311,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
313,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
316,Sumenep,ID,77.58,light rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
317,Ilhabela,BR,83.84,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
322,Salinopolis,BR,80.73,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
323,Mauriti,BR,78.8,light rain,-7.3892,-38.7744,Hotel Pedra da Letra
324,Panji,ID,75.81,light rain,-7.7253,114.0995,warung manda
