City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ban Nahin,LA,18.2418,104.2122,61.75,82,0,3.98,clear sky
1,Leshan,CN,29.5623,103.7639,50.81,78,98,2.75,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.8,62,20,26.46,few clouds
3,Kruisfontein,ZA,-34.0033,24.7314,69.01,74,0,5.01,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,57.2,51,40,27.63,scattered clouds
5,Tiksi,RU,71.6872,128.8694,-26.57,86,100,5.59,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,73.99,60,20,12.66,few clouds
7,Tarnogskiy Gorodok,RU,60.4997,43.5761,22.62,97,100,7.4,overcast clouds
8,Buchanan,LR,5.8808,-10.0467,84.2,74,75,3.44,broken clouds
9,Marsaxlokk,MT,35.8419,14.5431,60.01,94,0,8.05,clear sky
10,Atengo,MX,20.1667,-99.3333,72.59,24,64,4.83,broken clouds
11,Atuona,PF,-9.8,-139.0333,78.42,77,40,16.98,light rain
12,Luderitz,NA,-26.6481,15.1594,72.25,49,0,27.29,clear sky
13,Mana,GF,5.6592,-53.7767,79.43,87,76,13.6,broken clouds
14,Gwanda,ZW,-20.9333,29.0,74.35,79,96,8.39,moderate rain
15,Baiyin,CN,36.5583,104.2081,26.01,48,0,11.18,clear sky
16,Lompoc,US,34.6391,-120.4579,50.0,93,1,4.61,clear sky
17,Jamestown,US,42.097,-79.2353,25.0,79,90,4.94,light snow
18,Vaini,TO,-21.2,-175.2,79.88,78,100,14.65,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,14.97,clear sky
20,Kahului,US,20.8947,-156.47,69.01,94,40,11.5,scattered clouds
21,Hithadhoo,MV,-0.6,73.0833,82.78,75,65,13.38,broken clouds
22,Provideniya,RU,64.3833,-173.3,-12.33,83,64,7.18,broken clouds
23,Snasa,NO,64.2457,12.3778,16.05,94,80,2.08,broken clouds
24,Emerald,AU,-23.5333,148.1667,75.2,78,1,9.22,clear sky
25,Buin,CL,-33.7333,-70.75,77.0,47,75,2.3,light rain
26,Touros,BR,-5.1989,-35.4608,87.8,55,40,13.8,scattered clouds
27,Dikson,RU,73.5069,80.5464,-35.72,82,25,9.71,scattered clouds
28,Nikolskoye,RU,59.7035,30.7861,28.0,100,90,4.47,light snow
29,Steinbach,DE,50.1667,8.5667,34.0,93,90,11.5,light snow
30,Constitucion,CL,-35.3333,-72.4167,66.97,81,80,2.86,broken clouds
31,Ust-Tsilma,RU,65.441,52.1498,3.58,93,100,9.86,overcast clouds
32,Upernavik,GL,72.7868,-56.1549,-9.69,86,2,8.21,clear sky
33,Chuy,UY,-33.6971,-53.4616,83.57,49,16,13.02,few clouds
34,Victoria,HK,22.2855,114.1577,62.01,74,2,16.26,clear sky
35,Severo-Kurilsk,RU,50.6789,156.125,23.43,95,100,29.01,light snow
36,Busselton,AU,-33.65,115.3333,63.0,64,0,10.87,clear sky
37,Albany,US,42.6001,-73.9662,19.0,49,2,1.01,clear sky
38,Sola,VU,-13.8833,167.55,81.01,81,92,16.35,overcast clouds
39,Arraial Do Cabo,BR,-22.9661,-42.0278,93.2,48,0,19.57,clear sky
40,Mazatlan,MX,23.2167,-106.4167,73.4,64,1,3.44,clear sky
41,Lithgow,AU,-33.4833,150.15,70.0,95,4,2.75,clear sky
42,Binzhou,CN,37.3667,118.0167,43.0,50,100,6.26,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,48.0,80,57,8.01,broken clouds
44,Geraldton,AU,-28.7667,114.6,86.0,23,0,12.66,clear sky
45,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,10.36,clear sky
46,Takhtamygda,RU,54.1,123.5667,-34.19,81,54,1.5,broken clouds
47,Sept-Iles,CA,50.2001,-66.3821,19.0,52,20,6.91,few clouds
48,Castro,BR,-24.7911,-50.0119,70.59,91,91,4.68,overcast clouds
49,East London,ZA,-33.0153,27.9116,73.4,78,40,8.05,scattered clouds
50,Toppenish,US,46.3774,-120.3087,42.8,75,90,8.05,overcast clouds
51,Makakilo City,US,21.3469,-158.0858,71.6,83,1,3.44,light rain
52,Grand Gaube,MU,-20.0064,57.6608,79.0,82,0,5.99,clear sky
53,Ahipara,NZ,-35.1667,173.1667,55.38,80,0,5.23,clear sky
