City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Margate,GB,2021-01-27 18:41:28,51.3813,1.3862,48.0,84,100,3.71
1,Kapaa,US,2021-01-27 18:41:29,22.0752,-159.319,75.0,88,90,13.8
2,Jakar,BT,2021-01-27 18:41:29,27.5492,90.7525,32.38,90,0,2.71
3,Saint George,US,2021-01-27 18:41:29,37.1041,-113.5841,41.0,60,90,16.11
4,Dikson,RU,2021-01-27 18:41:29,73.5069,80.5464,-21.71,86,100,8.61
5,Chokurdakh,RU,2021-01-27 18:41:29,70.6333,147.9167,-16.76,88,100,14.34
6,Dickinson,US,2021-01-27 18:41:29,29.4608,-95.0513,68.0,29,1,21.85
7,Rikitea,PF,2021-01-27 18:41:29,-23.1203,-134.9692,79.32,76,6,14.23
8,Mahebourg,MU,2021-01-27 18:41:29,-20.4081,57.7,77.0,83,20,6.91
9,Lorengau,PG,2021-01-27 18:41:29,-2.0226,147.2712,82.09,78,100,7.56
10,Los Llanos De Aridane,ES,2021-01-27 18:37:20,28.6585,-17.9182,68.0,77,75,8.05
11,Hermanus,ZA,2021-01-27 18:41:30,-34.4187,19.2345,66.0,71,32,1.99
12,Pochutla,MX,2021-01-27 18:41:30,15.7432,-96.4661,91.99,44,0,8.99
13,Albany,US,2021-01-27 18:41:30,42.6001,-73.9662,30.99,62,69,15.99
14,Necochea,AR,2021-01-27 18:37:04,-38.5473,-58.7368,73.99,40,0,5.99
15,Namibe,AO,2021-01-27 18:41:30,-15.1961,12.1522,75.61,77,34,10.78
16,Saint-Philippe,RE,2021-01-27 18:41:30,-21.3585,55.7679,78.8,69,30,4.61
17,Saint-Paul,RE,2021-01-27 18:41:30,-21.0096,55.2707,77.0,83,20,6.91
18,Jamestown,US,2021-01-27 18:37:45,42.097,-79.2353,28.0,80,90,7.47
19,Paray-Le-Monial,FR,2021-01-27 18:41:31,46.4546,4.1158,46.99,93,90,3.44
20,Port Alfred,ZA,2021-01-27 18:41:31,-33.5906,26.891,66.0,94,59,3.0
21,Monte Alegre,BR,2021-01-27 18:41:31,-2.0078,-54.0692,89.33,51,99,3.4
22,Ranong,TH,2021-01-27 18:40:10,9.9658,98.6348,76.41,85,80,5.17
23,Murgab,TM,2021-01-27 18:41:31,37.4966,61.9714,37.4,65,0,6.91
24,Tual,ID,2021-01-27 18:41:31,-5.6667,132.75,83.5,78,100,20.18
25,Bredasdorp,ZA,2021-01-27 18:41:31,-34.5322,20.0403,64.4,55,98,3.44
26,Busselton,AU,2021-01-27 18:41:31,-33.65,115.3333,51.01,86,0,10.33
27,Junagarh,IN,2021-01-27 18:41:31,19.8667,82.9333,66.6,55,0,3.2
28,Tiksi,RU,2021-01-27 18:41:32,71.6872,128.8694,-38.51,83,89,2.73
29,Mataura,NZ,2021-01-27 18:41:32,-46.1927,168.8643,50.0,86,70,14.0
30,Souillac,MU,2021-01-27 18:41:32,-20.5167,57.5167,77.0,83,20,6.91
31,Dzhebariki-Khaya,RU,2021-01-27 18:41:32,62.2167,135.8,-52.06,75,77,0.47
32,Nioro,GM,2021-01-27 18:41:33,13.35,-15.75,88.86,10,0,6.33
33,Butaritari,KI,2021-01-27 18:37:02,3.0707,172.7902,80.29,79,100,11.61
34,Camacari,BR,2021-01-27 18:41:33,-12.6975,-38.3242,78.8,78,75,13.8
35,Murgud,IN,2021-01-27 18:41:33,16.4,74.2,69.84,51,0,1.72
36,Kerouane,GN,2021-01-27 18:41:33,9.2667,-9.0167,81.28,16,0,2.44
37,Lysa Hora,UA,2021-01-27 18:41:33,48.1706,31.1099,30.2,98,100,23.47
38,Khatanga,RU,2021-01-27 18:41:33,71.9667,102.5,-29.25,80,0,7.43
39,Guerrero Negro,MX,2021-01-27 18:41:33,27.9769,-114.0611,61.72,41,100,6.55
40,Pacific Grove,US,2021-01-27 18:37:28,36.6177,-121.9166,55.0,87,75,3.44
41,Werda,BW,2021-01-27 18:41:34,-25.2667,23.2833,79.16,32,69,9.69
42,Ribeira Grande,PT,2021-01-27 18:41:34,38.5167,-28.7,59.0,82,75,25.32
43,Dudinka,RU,2021-01-27 18:41:34,69.4058,86.1778,-24.41,83,100,3.27
44,Kodiak,US,2021-01-27 18:41:34,57.79,-152.4072,28.4,86,90,2.15
45,Yambio,SS,2021-01-27 18:41:34,4.5721,28.3955,80.83,37,54,1.79
46,East London,ZA,2021-01-27 18:41:34,-33.0153,27.9116,68.0,88,75,5.75
